
Numero tabelle: 550271

Numero medio righe: 18.203808668819544

Numero medio colonne: 4.377555786149006

Numero medio valori nulli per tabella: 1.4538291132914509E-5

Distribuzione numero di righe:
33 tabelle hanno 182 righe
26 tabelle hanno 183 righe
1 tabelle hanno 1207 righe
25 tabelle hanno 184 righe
1 tabelle hanno 2232 righe
25 tabelle hanno 185 righe
28 tabelle hanno 186 righe
21 tabelle hanno 187 righe
23 tabelle hanno 188 righe
33 tabelle hanno 189 righe
1 tabelle hanno 3261 righe
20 tabelle hanno 190 righe
23 tabelle hanno 191 righe
26 tabelle hanno 192 righe
14 tabelle hanno 193 righe
73 tabelle hanno 194 righe
1 tabelle hanno 1218 righe
31 tabelle hanno 195 righe
29 tabelle hanno 196 righe
28 tabelle hanno 197 righe
21 tabelle hanno 198 righe
40 tabelle hanno 199 righe
23 tabelle hanno 200 righe
42 tabelle hanno 201 righe
22 tabelle hanno 202 righe
31 tabelle hanno 203 righe
23 tabelle hanno 204 righe
1 tabelle hanno 1229 righe
22 tabelle hanno 205 righe
25 tabelle hanno 206 righe
26 tabelle hanno 207 righe
25 tabelle hanno 208 righe
24 tabelle hanno 209 righe
17 tabelle hanno 210 righe
24 tabelle hanno 211 righe
22 tabelle hanno 212 righe
14 tabelle hanno 213 righe
14 tabelle hanno 214 righe
21 tabelle hanno 215 righe
19 tabelle hanno 216 righe
26 tabelle hanno 217 righe
22 tabelle hanno 218 righe
13 tabelle hanno 219 righe
24 tabelle hanno 220 righe
15 tabelle hanno 221 righe
9 tabelle hanno 222 righe
18 tabelle hanno 223 righe
18 tabelle hanno 224 righe
25 tabelle hanno 225 righe
24 tabelle hanno 226 righe
25 tabelle hanno 227 righe
15 tabelle hanno 228 righe
16 tabelle hanno 229 righe
22 tabelle hanno 230 righe
22 tabelle hanno 231 righe
17 tabelle hanno 232 righe
23 tabelle hanno 233 righe
16 tabelle hanno 234 righe
25 tabelle hanno 235 righe
14 tabelle hanno 236 righe
20 tabelle hanno 237 righe
12 tabelle hanno 238 righe
14 tabelle hanno 239 righe
11 tabelle hanno 240 righe
25 tabelle hanno 241 righe
16 tabelle hanno 242 righe
13 tabelle hanno 243 righe
1 tabelle hanno 2291 righe
22 tabelle hanno 244 righe
18 tabelle hanno 245 righe
1 tabelle hanno 2293 righe
17 tabelle hanno 246 righe
1 tabelle hanno 1270 righe
13 tabelle hanno 247 righe
8 tabelle hanno 248 righe
11 tabelle hanno 249 righe
13 tabelle hanno 250 righe
20 tabelle hanno 251 righe
8 tabelle hanno 252 righe
15 tabelle hanno 253 righe
1 tabelle hanno 1277 righe
8 tabelle hanno 254 righe
12 tabelle hanno 255 righe
11 tabelle hanno 256 righe
12 tabelle hanno 257 righe
1 tabelle hanno 2305 righe
5 tabelle hanno 258 righe
12 tabelle hanno 259 righe
17 tabelle hanno 260 righe
1 tabelle hanno 1284 righe
17 tabelle hanno 261 righe
16 tabelle hanno 262 righe
12 tabelle hanno 263 righe
15 tabelle hanno 264 righe
13 tabelle hanno 265 righe
8 tabelle hanno 266 righe
11 tabelle hanno 267 righe
6 tabelle hanno 268 righe
9 tabelle hanno 269 righe
13 tabelle hanno 270 righe
10 tabelle hanno 271 righe
8 tabelle hanno 272 righe
10 tabelle hanno 273 righe
8 tabelle hanno 274 righe
8 tabelle hanno 275 righe
6 tabelle hanno 276 righe
8 tabelle hanno 277 righe
11 tabelle hanno 278 righe
8 tabelle hanno 279 righe
8 tabelle hanno 280 righe
7 tabelle hanno 281 righe
5 tabelle hanno 282 righe
10 tabelle hanno 283 righe
13 tabelle hanno 284 righe
6 tabelle hanno 285 righe
8 tabelle hanno 286 righe
6 tabelle hanno 287 righe
11 tabelle hanno 288 righe
8 tabelle hanno 289 righe
9 tabelle hanno 290 righe
7 tabelle hanno 291 righe
4 tabelle hanno 292 righe
7 tabelle hanno 293 righe
1 tabelle hanno 2341 righe
6 tabelle hanno 294 righe
6 tabelle hanno 295 righe
9 tabelle hanno 296 righe
5 tabelle hanno 297 righe
3 tabelle hanno 298 righe
5 tabelle hanno 299 righe
1 tabelle hanno 1323 righe
12 tabelle hanno 300 righe
16 tabelle hanno 301 righe
2 tabelle hanno 302 righe
12 tabelle hanno 303 righe
9 tabelle hanno 304 righe
7 tabelle hanno 305 righe
3 tabelle hanno 306 righe
5 tabelle hanno 307 righe
12 tabelle hanno 308 righe
9 tabelle hanno 309 righe
9 tabelle hanno 310 righe
3 tabelle hanno 311 righe
3 tabelle hanno 312 righe
5 tabelle hanno 313 righe
5 tabelle hanno 314 righe
7 tabelle hanno 315 righe
8 tabelle hanno 316 righe
7 tabelle hanno 317 righe
1 tabelle hanno 1341 righe
3 tabelle hanno 318 righe
4 tabelle hanno 319 righe
6 tabelle hanno 320 righe
4 tabelle hanno 321 righe
2 tabelle hanno 322 righe
2 tabelle hanno 323 righe
5 tabelle hanno 324 righe
6 tabelle hanno 325 righe
5 tabelle hanno 326 righe
4 tabelle hanno 327 righe
9 tabelle hanno 328 righe
3 tabelle hanno 329 righe
2 tabelle hanno 330 righe
2 tabelle hanno 331 righe
3 tabelle hanno 332 righe
1 tabelle hanno 333 righe
4 tabelle hanno 334 righe
9 tabelle hanno 335 righe
6 tabelle hanno 336 righe
5 tabelle hanno 337 righe
4 tabelle hanno 338 righe
5 tabelle hanno 339 righe
9 tabelle hanno 340 righe
3 tabelle hanno 341 righe
5 tabelle hanno 342 righe
4 tabelle hanno 343 righe
7 tabelle hanno 344 righe
6 tabelle hanno 345 righe
5 tabelle hanno 346 righe
5 tabelle hanno 347 righe
5 tabelle hanno 348 righe
7 tabelle hanno 349 righe
10 tabelle hanno 350 righe
6 tabelle hanno 352 righe
5 tabelle hanno 353 righe
3 tabelle hanno 354 righe
2 tabelle hanno 355 righe
5 tabelle hanno 356 righe
2 tabelle hanno 1380 righe
1 tabelle hanno 357 righe
6 tabelle hanno 358 righe
5 tabelle hanno 359 righe
2 tabelle hanno 360 righe
2 tabelle hanno 361 righe
9 tabelle hanno 362 righe
5 tabelle hanno 363 righe
11 tabelle hanno 364 righe
7 tabelle hanno 365 righe
3 tabelle hanno 366 righe
5 tabelle hanno 367 righe
1 tabelle hanno 1391 righe
9 tabelle hanno 368 righe
2 tabelle hanno 369 righe
2 tabelle hanno 370 righe
3 tabelle hanno 371 righe
4 tabelle hanno 372 righe
4 tabelle hanno 373 righe
5 tabelle hanno 374 righe
3 tabelle hanno 375 righe
3 tabelle hanno 376 righe
1 tabelle hanno 377 righe
6 tabelle hanno 378 righe
3 tabelle hanno 379 righe
2 tabelle hanno 380 righe
1 tabelle hanno 382 righe
3 tabelle hanno 383 righe
6 tabelle hanno 384 righe
1 tabelle hanno 385 righe
1 tabelle hanno 1409 righe
1 tabelle hanno 2433 righe
3 tabelle hanno 386 righe
2 tabelle hanno 387 righe
4 tabelle hanno 388 righe
4 tabelle hanno 389 righe
4 tabelle hanno 390 righe
1 tabelle hanno 391 righe
2 tabelle hanno 392 righe
5 tabelle hanno 393 righe
3 tabelle hanno 394 righe
6 tabelle hanno 395 righe
5 tabelle hanno 396 righe
2 tabelle hanno 397 righe
1 tabelle hanno 398 righe
1 tabelle hanno 399 righe
2 tabelle hanno 400 righe
4 tabelle hanno 401 righe
8 tabelle hanno 402 righe
4 tabelle hanno 403 righe
3 tabelle hanno 404 righe
2 tabelle hanno 405 righe
5 tabelle hanno 406 righe
4 tabelle hanno 407 righe
2 tabelle hanno 408 righe
4 tabelle hanno 410 righe
5 tabelle hanno 411 righe
2 tabelle hanno 412 righe
4 tabelle hanno 413 righe
6 tabelle hanno 414 righe
5 tabelle hanno 415 righe
1 tabelle hanno 2463 righe
2 tabelle hanno 416 righe
6 tabelle hanno 417 righe
5 tabelle hanno 418 righe
5 tabelle hanno 419 righe
6 tabelle hanno 420 righe
1 tabelle hanno 1445 righe
5 tabelle hanno 421 righe
2 tabelle hanno 422 righe
2 tabelle hanno 423 righe
2 tabelle hanno 424 righe
2 tabelle hanno 425 righe
4 tabelle hanno 426 righe
3 tabelle hanno 427 righe
1 tabelle hanno 1451 righe
3 tabelle hanno 428 righe
3 tabelle hanno 429 righe
3 tabelle hanno 430 righe
4 tabelle hanno 431 righe
5 tabelle hanno 432 righe
2 tabelle hanno 433 righe
3 tabelle hanno 435 righe
4 tabelle hanno 436 righe
3 tabelle hanno 437 righe
4 tabelle hanno 438 righe
4 tabelle hanno 439 righe
6 tabelle hanno 440 righe
7 tabelle hanno 441 righe
7 tabelle hanno 442 righe
3 tabelle hanno 443 righe
9 tabelle hanno 444 righe
10 tabelle hanno 445 righe
7 tabelle hanno 446 righe
4 tabelle hanno 447 righe
4 tabelle hanno 448 righe
2 tabelle hanno 449 righe
3 tabelle hanno 450 righe
5 tabelle hanno 451 righe
7 tabelle hanno 452 righe
4 tabelle hanno 453 righe
4 tabelle hanno 454 righe
2 tabelle hanno 455 righe
3 tabelle hanno 456 righe
4 tabelle hanno 457 righe
3 tabelle hanno 458 righe
4 tabelle hanno 459 righe
6 tabelle hanno 460 righe
2 tabelle hanno 461 righe
1 tabelle hanno 2509 righe
4 tabelle hanno 462 righe
4 tabelle hanno 463 righe
4 tabelle hanno 464 righe
3 tabelle hanno 465 righe
4 tabelle hanno 466 righe
3 tabelle hanno 467 righe
2 tabelle hanno 468 righe
2 tabelle hanno 469 righe
2 tabelle hanno 471 righe
1 tabelle hanno 472 righe
3 tabelle hanno 473 righe
1 tabelle hanno 474 righe
3 tabelle hanno 475 righe
1 tabelle hanno 476 righe
1 tabelle hanno 477 righe
1 tabelle hanno 1503 righe
1 tabelle hanno 479 righe
3 tabelle hanno 480 righe
1 tabelle hanno 481 righe
1 tabelle hanno 482 righe
3 tabelle hanno 483 righe
3 tabelle hanno 484 righe
1 tabelle hanno 485 righe
2 tabelle hanno 486 righe
1 tabelle hanno 487 righe
3 tabelle hanno 488 righe
1 tabelle hanno 490 righe
